request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000.0,affordable_now,full_payment,2025-08-03:15656000.0,2025-08-03,none,"Pay IDR 15,656,000.00 today. This leaves at least IDR 24,768,300.00 available."
request_27,6670.0,affordable_now,full_payment,2026-07-05:6670.0,2026-07-05,none,"Pay ZAR 6,670.00 today. This leaves at least ZAR 20,500.00 available."
request_28,330.23,affordable_later,wait,2024-08-03:1302.4,2024-08-03,none,"Wait until 2024-08-03, then pay EUR 1,302.40 in full. Paying sooner would put the EUR 1,100.00 minimum at risk."
request_29,51524.0,affordable_now,full_payment,2025-11-04:51524.0,2025-11-04,none,"Pay ZAR 51,524.00 today. This leaves at least ZAR 28,300.00 available."
request_30,268.74,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-06-05,none,Use the installment plan. This keeps at least USD 900.00 available throughout.
request_31,2993442.33,affordable_later,wait,2024-10-14:18164000.0,2024-10-14,none,"Wait until 2024-10-14, then pay IDR 18,164,000.00 in full. Paying sooner would put the IDR 16,588,900.00 minimum at risk."
request_32,20083.56,not_affordable,not_recommended,none,,none,"Do not make this payment. None of the available options keeps the ZAR 35,700.00 minimum protected."
request_33,43354.83,affordable_later,wait,2026-03-15:118000.0,2026-03-15,none,"Wait until 2026-03-15, then pay INR 118,000.00 in full. Paying sooner would put the INR 102,100.00 minimum at risk."
request_34,129400.0,affordable_now,full_payment,2024-12-04:129400.0,2024-12-04,none,"Pay INR 129,400.00 today. This leaves at least INR 138,500.00 available."
request_35,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment. None of the available options keeps the INR 106,400.00 minimum protected."
request_36,647.62,affordable_later,wait,2026-09-13:3954.0,2026-09-13,none,"Wait until 2026-09-13, then pay USD 3,954.00 in full. Paying sooner would put the USD 2,400.00 minimum at risk."
request_37,3774871.13,not_affordable,not_recommended,none,,none,"Do not make this payment. None of the available options keeps the IDR 17,056,200.00 minimum protected."
request_38,207.75,affordable_later,wait,2025-10-13:971.3,2025-10-13,none,"Wait until 2025-10-13, then pay EUR 971.30 in full. Paying sooner would put the EUR 400.00 minimum at risk."
request_39,141026.07,affordable_later,wait,2026-05-14:208600.0,2026-05-14,none,"Wait until 2026-05-14, then pay INR 208,600.00 in full. Paying sooner would put the INR 213,400.00 minimum at risk."
request_40,428.02,affordable_later,wait,2024-08-13:1290.3,2024-08-13,none,"Wait until 2024-08-13, then pay EUR 1,290.30 in full. Paying sooner would put the EUR 1,500.00 minimum at risk."
request_41,11573773.88,affordable_later,wait,2025-12-14:38760000.0,2025-12-14,none,"Wait until 2025-12-14, then pay IDR 38,760,000.00 in full. Paying sooner would put the IDR 25,366,600.00 minimum at risk."
request_42,52100.0,affordable_now,full_payment,2026-01-05:52100.0,2026-01-05,none,"Pay INR 52,100.00 today. This leaves at least INR 113,100.00 available."
request_43,8515876.88,affordable_later,wait,2024-11-13:43339000.0,2024-11-13,none,"Wait until 2024-11-13, then pay IDR 43,339,000.00 in full. Paying sooner would put the IDR 21,398,000.00 minimum at risk."
request_44,29386.91,not_affordable,not_recommended,none,,none,"Do not make this payment. None of the available options keeps the INR 82,900.00 minimum protected."
request_45,4526443.28,affordable_later,wait,2026-09-13:21983000.0,2026-09-13,none,"Wait until 2026-09-13, then pay IDR 21,983,000.00 in full. Paying sooner would put the IDR 11,149,800.00 minimum at risk."
request_46,40363.22,affordable_with_plan,partial_payment,2024-12-03:40363.22|2024-12-15:9086.78,2024-12-15,none,"Pay INR 40,363.22 today and the remainder when funds allow. This keeps the INR 84,000.00 minimum protected."
request_47,38114000.0,affordable_now,full_payment,2025-05-05:38114000.0,2025-05-05,none,"Pay IDR 38,114,000.00 today. This leaves at least IDR 30,049,000.00 available."
request_48,45700.0,affordable_now,full_payment,2026-07-25:45700.0,2026-07-25,none,"Pay INR 45,700.00 today. This leaves at least INR 71,300.00 available."
request_49,11902106.67,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-05-19,none,"Use the installment plan. This keeps at least IDR 20,275,700.00 available throughout."
request_50,43900.0,affordable_now,full_payment,2025-08-06:43900.0,2025-08-06,none,"Pay INR 43,900.00 today. This leaves at least INR 99,700.00 available."
request_51,2191000.0,affordable_now,full_payment,2026-01-03:2191000.0,2026-01-03,none,"Pay IDR 2,191,000.00 today. This leaves at least IDR 7,811,000.00 available."
request_52,24245.8,affordable_later,wait,2024-06-14:28870.0,2024-06-14,none,"Wait until 2024-06-14, then pay INR 28,870.00 in full. Paying sooner would put the INR 41,500.00 minimum at risk."
request_53,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment. None of the available options keeps the USD 2,100.00 minimum protected."
request_54,2943.72,not_affordable,not_recommended,none,,none,"Do not make this payment. None of the available options keeps the ZAR 37,000.00 minimum protected."
request_55,75781.33,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-08-12,none,"Use the installment plan. This keeps at least INR 124,300.00 available throughout."
request_56,690.6,affordable_with_plan,partial_payment,2025-02-03:690.6|2025-02-15:190.96,2025-02-15,none,"Pay USD 690.60 today and the remainder when funds allow. This keeps the USD 2,100.00 minimum protected."
request_57,15917.06,affordable_later,wait,2026-06-13:61446.0,2026-06-13,none,"Wait until 2026-06-13, then pay ZAR 61,446.00 in full. Paying sooner would put the ZAR 42,700.00 minimum at risk."
request_58,16226000.0,affordable_now,full_payment,2024-12-07:16226000.0,2024-12-07,none,"Pay IDR 16,226,000.00 today. This leaves at least IDR 14,433,900.00 available."
request_59,48741.33,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-07-02,none,"Use the installment plan. This keeps at least INR 132,600.00 available throughout."
request_60,148.62,affordable_later,wait,2026-01-14:199.89,2026-01-14,none,"Wait until 2026-01-14, then pay USD 199.89 in full. Paying sooner would put the USD 400.00 minimum at risk."
request_61,10074.83,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-05-18,none,"Use the installment plan. This keeps at least ZAR 36,700.00 available throughout."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,"Pay USD 404.23 today. This leaves at least USD 1,300.00 available."
request_63,50125.06,not_affordable,not_recommended,none,,none,"Do not make this payment. None of the available options keeps the INR 153,500.00 minimum protected."
request_64,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment. None of the available options keeps the INR 36,100.00 minimum protected."
request_65,10819.6,not_affordable,not_recommended,none,,none,"Do not make this payment. None of the available options keeps the ZAR 15,500.00 minimum protected."
request_66,22200.0,affordable_now,full_payment,2026-04-03:22200.0,2026-04-03,none,"Pay INR 22,200.00 today. This leaves at least INR 80,700.00 available."
request_67,396.03,affordable_later,wait,2024-10-14:2094.0,2024-10-14,none,"Wait until 2024-10-14, then pay USD 2,094.00 in full. Paying sooner would put the USD 1,200.00 minimum at risk."
request_68,725.09,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-04-11,none,"Use the installment plan. This keeps at least USD 1,500.00 available throughout."
request_69,529.1,affordable_now,full_payment,2026-01-04:529.1,2026-01-04,none,Pay EUR 529.10 today. This leaves at least EUR 700.00 available.
request_70,52416.8,not_affordable,not_recommended,none,,none,"Do not make this payment. None of the available options keeps the INR 115,000.00 minimum protected."
request_71,509178.26,not_affordable,not_recommended,none,,none,"Do not make this payment. None of the available options keeps the IDR 8,884,800.00 minimum protected."
request_72,11330.0,affordable_now,full_payment,2026-07-05:11330.0,2026-07-05,none,"Pay ZAR 11,330.00 today. This leaves at least ZAR 12,200.00 available."
request_73,71400.0,affordable_now,full_payment,2023-01-20:71400.0,2023-01-20,none,"Pay INR 71,400.00 today. This leaves at least INR 103,200.00 available."
request_74,5010.0,affordable_now,full_payment,2025-08-04:5010.0,2025-08-04,none,"Pay ZAR 5,010.00 today. This leaves at least ZAR 21,900.00 available."
request_75,9800.27,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-06-08,none,"Use the installment plan. This keeps at least ZAR 39,000.00 available throughout."
request_76,1252.59,not_affordable,not_recommended,none,,none,"Do not make this payment. None of the available options keeps the USD 1,800.00 minimum protected."
request_77,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment. None of the available options keeps the INR 82,200.00 minimum protected."
request_78,43240.76,not_affordable,not_recommended,none,,none,"Do not make this payment. None of the available options keeps the INR 55,200.00 minimum protected."
request_79,743.24,not_affordable,not_recommended,none,,none,"Do not make this payment. None of the available options keeps the EUR 1,000.00 minimum protected."
request_80,136755.0,not_affordable,not_recommended,none,,none,"Do not make this payment. None of the available options keeps the INR 121,300.00 minimum protected."
request_81,2076.0,affordable_now,full_payment,2026-07-03:2076.0,2026-07-03,none,"Pay USD 2,076.00 today. This leaves at least USD 1,600.00 available."
request_82,313.89,affordable_later,wait,2025-02-06:1405.2,2025-02-06,none,"Wait until 2025-02-06, then pay USD 1,405.20 in full. Paying sooner would put the USD 1,100.00 minimum at risk."
request_83,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment. None of the available options keeps the INR 37,800.00 minimum protected."
request_84,33764.06,affordable_later,wait,2026-05-14:95400.0,2026-05-14,none,"Wait until 2026-05-14, then pay INR 95,400.00 in full. Paying sooner would put the INR 91,300.00 minimum at risk."
request_85,1459258.15,not_affordable,not_recommended,none,,none,"Do not make this payment. None of the available options keeps the IDR 6,396,300.00 minimum protected."
request_86,46300.0,affordable_now,full_payment,2025-08-03:46300.0,2025-08-03,none,"Pay INR 46,300.00 today. This leaves at least INR 84,900.00 available."
request_87,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment. None of the available options keeps the INR 185,900.00 minimum protected."
request_88,9045.23,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-08-15,none,"Use the installment plan. This keeps at least ZAR 25,800.00 available throughout."
request_89,4768746.67,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2026-01-13,none,"Use the installment plan. This keeps at least IDR 12,534,700.00 available throughout."
request_90,2560.0,affordable_now,full_payment,2026-07-06:2560.0,2026-07-06,none,"Pay ZAR 2,560.00 today. This leaves at least ZAR 7,600.00 available."
request_91,443.66,affordable_later,wait,2024-11-13:1927.2,2024-11-13,none,"Wait until 2024-11-13, then pay EUR 1,927.20 in full. Paying sooner would put the EUR 2,100.00 minimum at risk."
request_92,34034.0,affordable_now,full_payment,2025-02-05:34034.0,2025-02-05,none,"Pay ZAR 34,034.00 today. This leaves at least ZAR 28,100.00 available."
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.2,2026-04-07,none,"Pay USD 1,729.20 today. This leaves at least USD 1,900.00 available."
request_94,572.0,affordable_now,full_payment,2024-12-04:572.0,2024-12-04,none,Pay EUR 572.00 today. This leaves at least EUR 600.00 available.
request_95,22561.72,not_affordable,not_recommended,none,,none,"Do not make this payment. None of the available options keeps the INR 145,500.00 minimum protected."
request_96,31269.33,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-03-11,none,"Use the installment plan. This keeps at least INR 56,500.00 available throughout."
request_97,8145.28,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-05-20,none,"Use the installment plan. This keeps at least ZAR 29,700.00 available throughout."
request_98,9355.06,affordable_later,wait,2025-10-13:27148.0,2025-10-13,none,"Wait until 2025-10-13, then pay ZAR 27,148.00 in full. Paying sooner would put the ZAR 30,000.00 minimum at risk."
request_99,18062.0,affordable_now,full_payment,2026-07-04:18062.0,2026-07-04,none,"Pay ZAR 18,062.00 today. This leaves at least ZAR 49,100.00 available."
request_100,12866.19,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-08-14,none,"Use the installment plan. This keeps at least ZAR 32,500.00 available throughout."
request_101,143500.0,affordable_now,full_payment,2025-11-03:143500.0,2025-11-03,none,"Pay INR 143,500.00 today. This leaves at least INR 187,400.00 available."
request_102,594.88,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-06-04,none,Use the installment plan. This keeps at least EUR 900.00 available throughout.
request_103,11686.61,not_affordable,not_recommended,none,,none,"Do not make this payment. None of the available options keeps the INR 125,500.00 minimum protected."
request_104,17204.0,affordable_now,full_payment,2025-02-04:17204.0,2025-02-04,none,"Pay ZAR 17,204.00 today. This leaves at least ZAR 24,700.00 available."
request_105,53500.0,affordable_now,full_payment,2026-06-08:53500.0,2026-06-08,none,"Pay INR 53,500.00 today. This leaves at least INR 73,900.00 available."
request_106,463.22,not_affordable,not_recommended,none,,none,"Do not make this payment. None of the available options keeps the EUR 1,200.00 minimum protected."
request_107,1058.28,not_affordable,not_recommended,none,,none,"Do not make this payment. None of the available options keeps the EUR 1,600.00 minimum protected."
request_108,7836.4,not_affordable,not_recommended,none,,none,"Do not make this payment. None of the available options keeps the ZAR 24,100.00 minimum protected."
request_109,643.48,not_affordable,not_recommended,none,,none,"Do not make this payment. None of the available options keeps the EUR 1,700.00 minimum protected."
request_110,7748.69,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-10-01,none,"Use the installment plan. This keeps at least ZAR 11,200.00 available throughout."
request_111,16625000.0,affordable_now,full_payment,2026-04-03:16625000.0,2026-04-03,none,"Pay IDR 16,625,000.00 today. This leaves at least IDR 23,022,800.00 available."
request_112,271.7,affordable_now,full_payment,2024-06-05:271.7,2024-06-05,none,Pay EUR 271.70 today. This leaves at least EUR 500.00 available.
request_113,25464.58,affordable_later,wait,2026-09-14:36500.0,2026-09-14,none,"Wait until 2026-09-14, then pay INR 36,500.00 in full. Paying sooner would put the INR 82,300.00 minimum at risk."
request_114,58368.32,affordable_later,wait,2026-01-14:65300.0,2026-01-14,none,"Wait until 2026-01-14, then pay INR 65,300.00 in full. Paying sooner would put the INR 113,400.00 minimum at risk."
request_115,15223.43,affordable_later,wait,2024-11-13:80500.0,2024-11-13,none,"Wait until 2024-11-13, then pay INR 80,500.00 in full. Paying sooner would put the INR 38,800.00 minimum at risk."
request_116,15159.71,not_affordable,not_recommended,none,,none,"Do not make this payment. None of the available options keeps the INR 80,300.00 minimum protected."
request_117,880.0,affordable_now,full_payment,2026-07-05:880.0,2026-07-05,none,"Pay EUR 880.00 today. This leaves at least EUR 1,000.00 available."
request_118,255.87,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2025-02-07,none,Use the installment plan. This keeps at least EUR 600.00 available throughout.
request_119,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment. None of the available options keeps the INR 151,200.00 minimum protected."
request_120,7714000.0,affordable_now,full_payment,2026-04-06:7714000.0,2026-04-06,none,"Pay IDR 7,714,000.00 today. This leaves at least IDR 20,050,300.00 available."
request_121,633.6,affordable_now,full_payment,2024-03-03:633.6,2024-03-03,none,Pay USD 633.60 today. This leaves at least USD 800.00 available.
request_122,7126773.33,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-09-30,none,"Use the installment plan. This keeps at least IDR 12,588,500.00 available throughout."
request_123,4076000.0,affordable_now,full_payment,2026-01-07:4076000.0,2026-01-07,none,"Pay IDR 4,076,000.00 today. This leaves at least IDR 18,091,200.00 available."
request_124,1076.12,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-08-12,none,"Use the installment plan. This keeps at least EUR 1,600.00 available throughout."
request_125,6468.0,affordable_now,full_payment,2025-11-06:6468.0,2025-11-06,none,"Pay ZAR 6,468.00 today. This leaves at least ZAR 11,300.00 available."
request_126,159600.0,affordable_now,full_payment,2026-07-03:159600.0,2026-07-03,none,"Pay INR 159,600.00 today. This leaves at least INR 129,700.00 available."
request_127,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment. None of the available options keeps the ZAR 41,000.00 minimum protected."
request_128,25168.0,affordable_now,full_payment,2025-02-07:25168.0,2025-02-07,none,"Pay ZAR 25,168.00 today. This leaves at least ZAR 42,600.00 available."
request_129,141.57,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the USD 800.00 minimum protected.
request_130,444.6,affordable_later,wait,2025-01-16:1978.8,2025-01-16,none,"Wait until 2025-01-16, then pay USD 1,978.80 in full. Paying sooner would put the USD 1,400.00 minimum at risk."
request_131,643.14,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-07-01,none,"Use the installment plan. This keeps at least USD 1,100.00 available throughout."
request_132,378.66,affordable_later,wait,2026-01-14:379.86,2026-01-14,none,"Wait until 2026-01-14, then pay USD 379.86 in full. Paying sooner would put the USD 1,100.00 minimum at risk."
request_133,15770000.0,not_affordable,not_recommended,none,,none,"Do not make this payment. None of the available options keeps the IDR 9,986,200.00 minimum protected."
request_134,4945908.13,affordable_later,wait,2025-10-13:21831000.0,2025-10-13,none,"Wait until 2025-10-13, then pay IDR 21,831,000.00 in full. Paying sooner would put the IDR 15,902,500.00 minimum at risk."
request_135,304.8,affordable_now,full_payment,2026-07-06:304.8,2026-07-06,none,Pay USD 304.80 today. This leaves at least USD 500.00 available.
request_136,560.4,affordable_now,full_payment,2024-06-03:560.4,2024-06-03,none,"Pay USD 560.40 today. This leaves at least USD 1,100.00 available."
request_137,34023.4,affordable_later,wait,2026-01-13:80100.0,2026-01-13,none,"Wait until 2026-01-13, then pay INR 80,100.00 in full. Paying sooner would put the INR 71,800.00 minimum at risk."
request_138,1101.93,affordable_with_plan,partial_payment,2026-04-07:1101.93|2026-04-14:155.01,2026-04-14,none,"Pay EUR 1,101.93 today and the remainder when funds allow. This keeps the EUR 2,300.00 minimum protected."
request_139,1730.41,not_affordable,not_recommended,none,,none,"Do not make this payment. None of the available options keeps the USD 1,500.00 minimum protected."
request_140,2606.09,not_affordable,not_recommended,none,,none,"Do not make this payment. None of the available options keeps the ZAR 21,600.00 minimum protected."
request_141,21896.39,not_affordable,not_recommended,none,,none,"Do not make this payment. None of the available options keeps the INR 67,300.00 minimum protected."
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.6,2024-12-05,none,"Pay USD 1,263.60 today. This leaves at least USD 1,700.00 available."
request_143,2709.13,affordable_later,wait,2025-07-14:12584.0,2025-07-14,none,"Wait until 2025-07-14, then pay ZAR 12,584.00 in full. Paying sooner would put the ZAR 11,300.00 minimum at risk."
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,Pay USD 233.34 today. This leaves at least USD 600.00 available.
request_145,40827.65,not_affordable,not_recommended,none,,none,"Do not make this payment. None of the available options keeps the INR 155,400.00 minimum protected."
request_146,13686.5,not_affordable,not_recommended,none,,none,"Do not make this payment. None of the available options keeps the INR 108,600.00 minimum protected."
request_147,0.0,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the EUR 900.00 minimum protected.
request_148,7710.56,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-08-15,none,"Use the installment plan. This keeps at least ZAR 20,000.00 available throughout."
request_149,12706.03,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2026-01-13,none,"Use the installment plan. This keeps at least ZAR 42,100.00 available throughout."
request_150,297.84,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the EUR 700.00 minimum protected.
request_151,26999000.0,affordable_now,full_payment,2024-09-03:26999000.0,2024-09-03,none,"Pay IDR 26,999,000.00 today. This leaves at least IDR 31,633,600.00 available."
request_152,4812.43,affordable_with_plan,installments,2025-02-12:4812.43|2025-03-12:4812.43|2025-04-09:4812.43,2025-04-09,none,"Use the installment plan. This keeps at least ZAR 11,900.00 available throughout."
request_153,63.2,not_affordable,not_recommended,none,,none,"Do not make this payment. None of the available options keeps the USD 1,400.00 minimum protected."
request_154,563.61,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2025-02-04,none,"Use the installment plan. This keeps at least EUR 1,300.00 available throughout."
request_155,78984.08,not_affordable,not_recommended,none,,none,"Do not make this payment. None of the available options keeps the INR 56,300.00 minimum protected."
request_156,10296.34,affordable_later,wait,2026-05-14:43076.0,2026-05-14,none,"Wait until 2026-05-14, then pay ZAR 43,076.00 in full. Paying sooner would put the ZAR 26,900.00 minimum at risk."
request_157,4844708.23,affordable_later,wait,2024-04-17:23503000.0,2024-04-17,none,"Wait until 2024-04-17, then pay IDR 23,503,000.00 in full. Paying sooner would put the IDR 15,714,100.00 minimum at risk."
request_158,84101.33,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-10-02,none,"Use the installment plan. This keeps at least INR 131,400.00 available throughout."
request_159,13398.0,affordable_now,full_payment,2026-01-04:13398.0,2026-01-04,none,"Pay ZAR 13,398.00 today. This leaves at least ZAR 8,700.00 available."
request_160,432.05,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-08-14,none,"Use the installment plan. This keeps at least EUR 1,200.00 available throughout."
request_161,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment. None of the available options keeps the IDR 23,010,400.00 minimum protected."
request_162,3242810.58,not_affordable,not_recommended,none,,none,"Do not make this payment. None of the available options keeps the IDR 24,161,100.00 minimum protected."
request_163,6692053.33,affordable_with_plan,installments,2024-09-10:6692053.33|2024-10-11:6692053.33|2024-11-11:6692053.33,2024-11-11,none,"Use the installment plan. This keeps at least IDR 26,728,700.00 available throughout."
request_164,9366240.0,affordable_with_plan,installments,2025-02-11:9366240.0|2025-03-11:9366240.0|2025-04-08:9366240.0,2025-04-08,none,"Use the installment plan. This keeps at least IDR 29,550,500.00 available throughout."
request_165,80600.0,affordable_now,full_payment,2026-04-06:80600.0,2026-04-06,none,"Pay INR 80,600.00 today. This leaves at least INR 95,000.00 available."
request_166,1007.97,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2025-02-03,none,"Use the installment plan. This keeps at least USD 1,700.00 available throughout."
request_167,43802.0,affordable_now,full_payment,2025-05-05:43802.0,2025-05-05,none,"Pay ZAR 43,802.00 today. This leaves at least ZAR 31,200.00 available."
request_168,42835.41,affordable_with_plan,partial_payment,2026-01-07:42835.41|2026-01-14:6544.59,2026-01-14,none,"Pay INR 42,835.41 today and the remainder when funds allow. This keeps the INR 114,400.00 minimum protected."
request_169,41976.0,affordable_now,full_payment,2024-03-04:41976.0,2024-03-04,none,"Pay ZAR 41,976.00 today. This leaves at least ZAR 18,700.00 available."
request_170,12804480.0,affordable_with_plan,installments,2025-08-06:12804480.0|2025-09-03:12804480.0|2025-10-01:12804480.0,2025-10-01,none,"Use the installment plan. This keeps at least IDR 24,715,800.00 available throughout."
request_171,79.37,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the EUR 500.00 minimum protected.
request_172,5304.0,affordable_with_plan,installments,2024-06-05:5304.0|2024-07-03:5304.0,2024-07-03,none,"Use the installment plan. This keeps at least ZAR 27,200.00 available throughout."
request_173,39173.33,affordable_with_plan,installments,2025-11-21:39173.33|2025-12-19:39173.33|2026-01-16:39173.33,2026-01-16,none,"Use the installment plan. This keeps at least INR 79,100.00 available throughout."
request_174,397.35,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-06-03,none,Use the installment plan. This keeps at least EUR 700.00 available throughout.
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.3,2024-09-06,none,"Pay EUR 2,346.30 today. This leaves at least EUR 1,700.00 available."
request_176,542.08,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the EUR 600.00 minimum protected.
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.6,2026-01-05,none,"Pay USD 1,017.60 today. This leaves at least USD 1,300.00 available."
request_178,1018.54,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2025-02-07,none,"Use the installment plan. This keeps at least EUR 1,400.00 available throughout."
request_179,7348796.22,affordable_later,wait,2025-07-14:41648000.0,2025-07-14,none,"Wait until 2025-07-14, then pay IDR 41,648,000.00 in full. Paying sooner would put the IDR 41,430,800.00 minimum at risk."
request_180,66500.0,affordable_now,full_payment,2026-07-06:66500.0,2026-07-06,none,"Pay INR 66,500.00 today. This leaves at least INR 37,300.00 available."
request_181,353.69,not_affordable,not_recommended,none,,none,"Do not make this payment. None of the available options keeps the USD 2,000.00 minimum protected."
request_182,65714.0,affordable_now,full_payment,2025-08-05:65714.0,2025-08-05,none,"Pay ZAR 65,714.00 today. This leaves at least ZAR 31,100.00 available."
request_183,9313546.67,affordable_with_plan,installments,2026-04-10:9313546.67|2026-05-10:9313546.67|2026-06-09:9313546.67,2026-06-09,none,"Use the installment plan. This keeps at least IDR 11,878,300.00 available throughout."
request_184,11224.15,not_affordable,not_recommended,none,,none,"Do not make this payment. None of the available options keeps the INR 110,800.00 minimum protected."
request_185,511.34,affordable_later,wait,2026-01-13:1257.3,2026-01-13,none,"Wait until 2026-01-13, then pay EUR 1,257.30 in full. Paying sooner would put the EUR 1,300.00 minimum at risk."
request_186,15669.78,affordable_later,wait,2026-02-13:26554.0,2026-02-13,none,"Wait until 2026-02-13, then pay ZAR 26,554.00 in full. Paying sooner would put the ZAR 22,000.00 minimum at risk."
request_187,39789.44,affordable_later,wait,2024-11-13:187500.0,2024-11-13,none,"Wait until 2024-11-13, then pay INR 187,500.00 in full. Paying sooner would put the INR 128,300.00 minimum at risk."
request_188,256.38,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the EUR 900.00 minimum protected.
request_189,488.4,affordable_now,full_payment,2026-07-04:488.4,2026-07-04,none,Pay EUR 488.40 today. This leaves at least EUR 400.00 available.
request_190,634.85,affordable_later,wait,2025-02-06:2557.5,2025-02-06,none,"Wait until 2025-02-06, then pay EUR 2,557.50 in full. Paying sooner would put the EUR 1,600.00 minimum at risk."
request_191,450.42,affordable_later,wait,2025-06-14:664.4,2025-06-14,none,"Wait until 2025-06-14, then pay EUR 664.40 in full. Paying sooner would put the EUR 500.00 minimum at risk."
request_192,285.41,not_affordable,not_recommended,none,,none,"Do not make this payment. None of the available options keeps the USD 1,000.00 minimum protected."
request_193,420.23,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23,2024-05-22,none,"Use the installment plan. This keeps at least EUR 1,000.00 available throughout."
